38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2004,,
,Februari,Agustus,Tahunan
ACEH,-,-,9.35
SUMATERA UTARA,-,-,11.08
SUMATERA BARAT,-,-,12.74
RIAU,-,-,15.25
JAMBI,-,-,6.04
SUMATERA SELATAN,-,-,8.37
BENGKULU,-,-,6.29
LAMPUNG,-,-,7.38
KEP. BANGKA BELITUNG,-,-,7.14
KEP. RIAU,-,-,-
DKI JAKARTA,-,-,14.7
JAWA BARAT,-,-,13.69
JAWA TENGAH,-,-,7.72
DI YOGYAKARTA,-,-,6.26
JAWA TIMUR,-,-,7.69
BANTEN,-,-,14.31
BALI,-,-,4.66
NUSA TENGGARA BARAT,-,-,7.48
NUSA TENGGARA TIMUR,-,-,4.48
KALIMANTAN BARAT,-,-,7.9
KALIMANTAN TENGAH,-,-,5.59
KALIMANTAN SELATAN,-,-,6.02
KALIMANTAN TIMUR,-,-,10.39
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,-,-,10.91
SULAWESI TENGAH,-,-,5.85
SULAWESI SELATAN,-,-,15.93
SULAWESI TENGGARA,-,-,9.35
GORONTALO,-,-,12.29
SULAWESI BARAT,-,-,-
MALUKU,-,-,11.67
MALUKU UTARA,-,-,7.53
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,-,-,8
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,-,-,9.86
