38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2003,,
,Februari,Agustus,Tahunan
ACEH,-,-,8.97
SUMATERA UTARA,-,-,11.02
SUMATERA BARAT,-,-,10.38
RIAU,-,-,10.74
JAMBI,-,-,6.5
SUMATERA SELATAN,-,-,9.08
BENGKULU,-,-,7.48
LAMPUNG,-,-,9.14
KEP. BANGKA BELITUNG,-,-,7.37
KEP. RIAU,-,-,-
DKI JAKARTA,-,-,14.86
JAWA BARAT,-,-,12.49
JAWA TENGAH,-,-,7.02
DI YOGYAKARTA,-,-,5.62
JAWA TIMUR,-,-,8.79
BANTEN,-,-,14.18
BALI,-,-,5.36
NUSA TENGGARA BARAT,-,-,6.34
NUSA TENGGARA TIMUR,-,-,4.02
KALIMANTAN BARAT,-,-,6.53
KALIMANTAN TENGAH,-,-,7.59
KALIMANTAN SELATAN,-,-,7.67
KALIMANTAN TIMUR,-,-,9.69
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,-,-,10.79
SULAWESI TENGAH,-,-,4.64
SULAWESI SELATAN,-,-,17.32
SULAWESI TENGGARA,-,-,10.3
GORONTALO,-,-,10.17
SULAWESI BARAT,-,-,-
MALUKU,-,-,12.63
MALUKU UTARA,-,-,7.5
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,-,-,6.21
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,-,-,9.67
