38 Provinsi,,,
,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,
,2000,,
,Februari,Agustus,Tahunan
ACEH,-,-,4.8
SUMATERA UTARA,-,-,8.52
SUMATERA BARAT,-,-,4.38
RIAU,-,-,5.93
JAMBI,-,-,3.68
SUMATERA SELATAN,-,-,5.73
BENGKULU,-,-,3.25
LAMPUNG,-,-,5.24
KEP. BANGKA BELITUNG,-,-,-
KEP. RIAU,-,-,-
DKI JAKARTA,-,-,12.08
JAWA BARAT,-,-,8.99
JAWA TENGAH,-,-,4.86
DI YOGYAKARTA,-,-,3.45
JAWA TIMUR,-,-,4.39
BANTEN,-,-,-
BALI,-,-,2.96
NUSA TENGGARA BARAT,-,-,4.3
NUSA TENGGARA TIMUR,-,-,2.46
KALIMANTAN BARAT,-,-,4.23
KALIMANTAN TENGAH,-,-,3.7
KALIMANTAN SELATAN,-,-,3.97
KALIMANTAN TIMUR,-,-,8.88
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,-,-,8.66
SULAWESI TENGAH,-,-,5.09
SULAWESI SELATAN,-,-,6.44
SULAWESI TENGGARA,-,-,3.1
GORONTALO,-,-,-
SULAWESI BARAT,-,-,-
MALUKU,-,-,-
MALUKU UTARA,-,-,-
PAPUA BARAT,-,-,-
PAPUA BARAT DAYA,-,-,-
PAPUA,-,-,3.62
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,-,-,6.08
